"","X","logFC","logCPM","PValue","FDR"
"84","ENSG00000101892",-7.62546310679536,1.0165705971742,1.41804101652422e-46,4.8652312019319e-44
"85","ENSG00000140986",-6.93639828108564,3.74395152716912,2.20998116549667e-46,7.49313613995458e-44
"86","ENSG00000109061",-6.91879042702345,4.29863894338993,2.39714259128508e-46,8.03005642568156e-44
"87","ENSG00000171819",-7.09507778468051,2.39342591920077,2.42406283495592e-46,8.03005642568156e-44
"88","ENSG00000018625",-6.84839957811846,6.40066206123384,3.01443385981152e-46,9.87227089088272e-44
"91","ENSG00000177791",-6.81189625374962,5.90786779566911,6.42789280671041e-46,2.03573484274059e-43
"92","ENSG00000146926",-7.96710217072178,-0.0732018447002446,8.56462039083693e-46,2.68296043112957e-43
"94","ENSG00000143318",-6.79416259102399,5.90434787428139,9.84401240783796e-46,3.01813231482862e-43
"96","ENSG00000135902",-7.73539378987888,0.132378156246797,1.58044387439901e-45,4.74462421460203e-43
"100","ENSG00000155657",-6.74336890497612,8.69789422262456,2.67272426310873e-45,7.70279132627935e-43
"101","ENSG00000182533",-7.11706849706459,1.35681669779659,3.14300391965258e-45,8.96845276875123e-43
"103","ENSG00000174697",-6.70845537539962,7.0184562938634,5.20481934874913e-45,1.45633877311602e-42
"106","ENSG00000149124",-6.74427974818768,3.27245490156337,1.05692232761847e-44,2.87363221527964e-42
"107","ENSG00000115593",-6.69762741588562,4.80973882550427,1.21101872132965e-44,3.26182799520751e-42
"109","ENSG00000130957",-6.87380496143403,2.08689201436623,3.2433213242614e-44,8.57546060231317e-42
"115","ENSG00000260746",-7.6225781133742,-0.0946567507166346,1.91380397682089e-43,4.79615918365026e-41
"116","ENSG00000236208",-8.7962474156981,-0.94253642289136,3.63073633936349e-43,8.95461260023461e-41
"117","ENSG00000168079",-6.50441634577668,5.90477673493741,3.63528686407859e-43,8.95461260023461e-41
"118","ENSG00000265142",-6.77993516810851,1.41765604639214,4.34394044966078e-43,1.06095223524766e-40
"120","ENSG00000089250",-6.63833634156276,1.94576354289373,8.52808968779384e-43,2.04816287335182e-40
"123","ENSG00000204460",-7.99374171556746,-0.627155715200629,2.08667638201783e-42,4.88926937640274e-40
"124","ENSG00000129152",-7.71093987434727,-0.45817201433785,3.24748864402395e-42,7.54779215490083e-40
"126","ENSG00000236333",-6.42361825586765,4.01636668731914,3.93466423990071e-42,8.99976376142368e-40
"128","ENSG00000146809",-6.66968316491139,1.39788094237159,9.41310070105448e-42,2.1194184547218e-39
"131","ENSG00000167588",-6.31106256742503,8.11215081681171,1.96372614799982e-41,4.32019752559961e-39
"134","ENSG00000187288",-6.29642376247044,6.96963928710943,2.61546522504269e-41,5.62520207356195e-39
"136","ENSG00000185739",-6.2992963946108,4.3965159557009,4.70765851512393e-41,9.97608223572587e-39
"137","ENSG00000169271",-6.80198727836963,0.41211163042943,5.03598830536285e-41,1.05939549606246e-38
"140","ENSG00000184811",-6.25379421945553,6.9155332927262,6.31127815670261e-41,1.29922168911549e-38
"141","ENSG00000124253",-6.25118697938713,5.1118502759855,6.51178231803705e-41,1.33098983266544e-38
"143","ENSG00000186628",-6.46733666042529,1.57905224380111,6.791472067159e-41,1.36874283199666e-38
"146","ENSG00000165478",-6.38857978929534,1.75792443860878,1.07162799788945e-40,2.11536430816259e-38
"148","ENSG00000181092",-6.19987213014589,8.66400042663415,1.92660365261586e-40,3.75167008570196e-38
"149","ENSG00000138347",-6.25191034327059,3.95148746308341,1.96224108627916e-40,3.79542202057486e-38
